posicion,etiqueta
01010410701,
01010410702,
01010410801,
01010410802,
01010420101,
01010420102,
01010420201,
01010420202,
01010420301,
01010420302,
01010420401,
01010420402,
01010420501,
01010420502,
01010420601,
01010420602,
01010420701,
01010420702,
01010420801,
01010420802,
01010430101,
01010430102,
01010430201,
01010430202,
01010430301,
01010430302,
01010430401,
01010430402,
01010430501,
01010430502,
01010430601,
01010430602,30557690101729001121
01010430701,
01010430702,
01010430801,
01010430802,30557690100921001073
01010440101,
01010440102,
01010440201,
01010440202,
01010440301,
01010440302,
01010440401,
01010440402,
01010440501,
01010440502,
01010440601,
01010440602,
01010440701,
01010440702,
01010440801,
01010440802,
01010450101,
01010450102,
01010450201,
01010450202,30557690101932001123
01010450301,
01010450302,
01010450401,
01010450402,
01010450501,
01010450502,30557690101325000975
01010450601,
01010450602,30557690100819001146
01010450701,
01010450702,30557690100819000873
01010450801,
01010450802,
01010460101,
01010460102,
01010460201,
01010460202,
01010460301,
01010460302,
01010460401,
01010460402,
01010460501,
01010460502,
01010460601,
01010460602,
01010460701,
01010460702,
01010460801,
01010460802,
01010470101,
01010470102,
01010470201,
01010470202,
01010470301,
01010470302,
01010470401,
01010470402,
01010470501,
01010470502,
01010470601,
01010470602,
01010470701,
01010470702,
01010470801,
01010470802,
01010480101,
01010480102,
01010480201,
01010480202,
01010480301,
01010480302,
01010480401,
01010480402,
01010480501,
01010480502,
01010480601,
01010480602,
01010480701,
01010480702,
01010480801,
01010480802,
01010490101,
01010490102,30557690100718000997
01010490201,
01010490202,
01010490301,
01010490302,
01010490401,
01010490402,
01010490501,
01010490502,
01010490601,
01010490602,30557690100213000840
01010490701,
01010490702,
01010490801,
01010490802,
01010500101,
01010500102,
01010500201,
01010500202,30557690100314000892
01010500301,
01010500302,
01010500401,
01010500402,
01010500501,
01010500502,
01010500601,
01010500602,
01010500701,
01010500702,
01010500801,
01010500802,
01010510101,
01010510102,
01010510201,
01010510202,30557690100011001099
01010510301,
01010510302,
01010510401,
01010510402,
01010510501,
01010510502,
01010510601,
01010510602,
01010510701,
01010510702,
01010510801,
01010510802,
01010520101,
01010520102,
01010520201,
01010520202,
01010520301,
01010520302,
01010520401,
01010520402,
01010520501,
01010520502,
01010520601,
01010520602,30557690100112001173
01010520701,
01010520702,
01010520801,
01010520802,
01010530101,
01010530102,
01010530201,
01010530202,
01010530301,
01010530302,
01010530401,
01010530402,
01010530501,
01010530502,
01010530601,
01010530602,
01010530701,
01010530702,30557690100314000926
01010530801,
01010530802,
01010540101,
01010540102,
01010540201,
01010540202,30557690100314000864
01010540301,
01010540302,
01010540401,
01010540402,
01010540501,
01010540502,30557690101123000899
01010540601,
01010540602,
01010540701,
01010540702,
01010540801,
01010540802,30557690100921001035
01010550101,
01010550102,
01010550201,
01010550202,
01010550301,
01010550302,
01010550401,
01010550402,
01010550501,
01010550502,
01010550601,
01010550602,
01010550701,
01010550702,
01010550801,
01010550802,
01010560101,
01010560102,
01010560201,
01010560202,
01010560301,
01010560302,
01010560401,
01010560402,
01010560501,
01010560502,
01010560601,
01010560602,
01010560701,
01010560702,30557690101831000923
01010560801,
01010560802,
01010570101,
01010570102,30557690100213001011
01010570201,
01010570202,
01010570301,
01010570302,
01010570401,
01010570402,
01010570501,
01010570502,
01010570601,
01010570602,
01010570701,
01010570702,
01010570801,
01010570802,
01010580101,
01010580102,
01010580201,
01010580202,
01010580301,
01010580302,
01010580401,
01010580402,
01010580501,
01010580502,
01010580601,
01010580602,30557690101022000815
01010580701,
01010580702,
01010580801,
01010580802,
01010590101,
01010590102,
01010590201,
01010590202,
01010590301,
01010590302,
01010590401,
01010590402,
01010590501,
01010590502,
01010590601,
01010590602,
01010590701,
01010590702,
01010590801,
01010590802,
01010600101,
01010600102,30557690100213000862
01010600201,
01010600202,
01010600301,
01010600302,
01010600401,
01010600402,
01010600501,
01010600502,
01010600601,
01010600602,
01010600701,
01010600702,30557690100415000958
01010600801,
01010600802,
01020010101,30557690101831001485
01020010102,30557690101831001095
01020010201,30557690101123001397
01020010202,30557690101123001295
01020010301,30557690101527001270
01020010302,30557690101527001244
01020010401,30557690101426001263
01020010402,30557690101426001218
01020010501,30557690100314001230
01020010502,30557690100314001207
01020010601,30557690101022001229
01020010602,30557690101022001221
01020010701,30557690100819001359
01020010702,30557690100819001251
01020010801,30557690100112001635
01020010802,30557690100112000867
01020020101,30557690101123001672
01020020102,30557690101123001505
01020020201,30557690100718001557
01020020202,30557690100718001375
01020020301,30557690101628001352
01020020302,30557690101628001296
01020020401,30557690101932001367
01020020402,30557690101932001269
01020020501,30557690100516001422
01020020502,30557690100516001131
01020020601,30557690101325001458
01020020602,30557690101325001284
01020020701,30557690101426001486
01020020702,30557690101426001307
01020020801,30557690100415001478
01020020802,30557690100415001380
01020030101,
01020030102,30557690100819001582
01020030201,30557690101022001638
01020030202,30557690101022001533
01020030301,30557690101527001490
01020030302,30557690101527001381
01020030401,30557690100011001514
01020030402,30557690100011001331
01020030501,30557690100617001424
01020030502,30557690100617001288
01020030601,30557690101022001409
01020030602,30557690101022001335
01020030701,30557690100213001509
01020030702,30557690100213001448
01020030801,30557690100617001588
01020030802,30557690100617001091
01020040101,
01020040102,
01020040201,
01020040202,30557690100213001650
01020040301,30557690101224001715
01020040302,30557690101224001547
01020040401,30557690101932001602
01020040402,30557690101932001464
01020040501,30557690100314001560
01020040502,30557690100314001364
01020040601,30557690100516001669
01020040602,30557690100516001482
01020040701,
01020040702,30557690101325001552
01020040801,
01020040802,30557690100921001653
01020050101,
01020050102,
01020050201,
01020050202,
01020050301,
01020050302,30557690100011001655
01020050401,30557690100921001623
01020050402,30557690100921001575
01020050501,
01020050502,30557690101628001495
01020050601,30557690101831001663
01020050602,30557690101831001579
01020050701,
01020050702,30557690100718001678
01020050801,
01020050802,
01020060101,
01020060102,30557690101527001102
01020060201,
01020060202,
01020060301,
01020060302,
01020060401,
01020060402,30557690101426001682
01020060501,
01020060502,30557690100415000861
01020060601,
01020060602,30557690101527001705
01020060701,
01020060702,
01020060801,
01020060802,
01020070101,
01020070102,
01020070201,
01020070202,
01020070301,
01020070302,
01020070401,
01020070402,
01020070501,
01020070502,
01020070601,
01020070602,
01020070701,
01020070702,
01020070801,
01020070802,
01020080101,
01020080102,
01020080201,
01020080202,
01020080301,
01020080302,
01020080401,
01020080402,
01020080501,
01020080502,
01020080601,
01020080602,
01020080701,
01020080702,
01020080801,
01020080802,
01020090101,
01020090102,
01020090201,
01020090202,
01020090301,
01020090302,
01020090401,
01020090402,
01020090501,
01020090502,
01020090601,
01020090602,
01020090701,
01020090702,
01020090801,
01020090802,
01020100101,
01020100102,30557690100213000882
01020100201,
01020100202,
01020100301,
01020100302,30557690101123001066
01020100401,
01020100402,30557690100617000966
01020100501,
01020100502,
01020100601,
01020100602,30557690100112001089
01020100701,
01020100702,
01020100801,
01020100802,
01020110101,
01020110102,
01020110201,
01020110202,
01020110301,
01020110302,
01020110401,
01020110402,
01020110501,
01020110502,
01020110601,
01020110602,
01020110701,
01020110702,
01020110801,
01020110802,
01020120101,
01020120102,
01020120201,
01020120202,
01020120301,
01020120302,
01020120401,
01020120402,
01020120501,
01020120502,30557690100819000932
01020120601,
01020120602,
01020120701,
01020120702,
01020120801,
01020120802,
01020130101,
01020130102,
01020130201,
01020130202,
01020130301,
01020130302,
01020130401,
01020130402,
01020130501,
01020130502,
01020130601,
01020130602,
01020130701,
01020130702,30557690101022000880
01020130801,
01020130802,
01020140101,
01020140102,
01020140201,
01020140202,
01020140301,
01020140302,
01020140401,
01020140402,
01020140501,
01020140502,
01020140601,
01020140602,
01020140701,
01020140702,
01020140801,
01020140802,
01020150101,
01020150102,
01020150201,
01020150202,
01020150301,
01020150302,
01020150401,
01020150402,
01020150501,
01020150502,
01020150601,
01020150602,
01020150701,
01020150702,
01020150801,
01020150802,
01020160101,
01020160102,
01020160201,
01020160202,
01020160301,
01020160302,30557690101224001054
01020160401,
01020160402,
01020160501,
01020160502,30557690101729000956
01020160601,
01020160602,
01020160701,
01020160702,
01020160801,
01020160802,
01020170101,
01020170102,
01020170201,
01020170202,
01020170301,
01020170302,
01020170401,
01020170402,
01020170501,
01020170502,
01020170601,
01020170602,
01020170701,
01020170702,
01020170801,
01020170802,
01020180101,
01020180102,
01020180201,
01020180202,
01020180301,
01020180302,
01020180401,
01020180402,
01020180501,
01020180502,
01020180601,
01020180602,
01020180701,
01020180702,
01020180801,
01020180802,
01020190101,
01020190102,
01020190201,
01020190202,
01020190301,
01020190302,
01020190401,
01020190402,
01020190501,
01020190502,
01020190601,
01020190602,
01020190701,
01020190702,
01020190801,
01020190802,
01020200101,
01020200102,
01020200201,
01020200202,
01020200301,
01020200302,
01020200401,
01020200402,
01020200501,
01020200502,
01020200601,
01020200602,
01020200701,
01020200702,
01020200801,
01020200802,
01020210101,
01020210102,30557690101831000990
01020210201,
01020210202,
01020210301,
01020210302,
01020210401,
01020210402,
01020210501,
01020210502,30557690101426000999
01020210601,
01020210602,
01020210701,
01020210702,
01020210801,
01020210802,30557690101831001127
01020220101,
01020220102,
01020220201,
01020220202,
01020220301,
01020220302,
01020220401,
01020220402,
01020220501,
01020220502,
01020220601,
01020220602,
01020220701,
01020220702,
01020220801,
01020220802,
01020230101,
01020230102,
01020230201,
01020230202,
01020230301,
01020230302,
01020230401,
01020230402,30557690100213001117
01020230501,
01020230502,
01020230601,
01020230602,
01020230701,
01020230702,
01020230801,
01020230802,
01020240101,
01020240102,
01020240201,
01020240202,
01020240301,
01020240302,
01020240401,
01020240402,
01020240501,
01020240502,
01020240601,
01020240602,
01020240701,
01020240702,
01020240801,
01020240802,
01020250101,
01020250102,
01020250201,
01020250202,
01020250301,
01020250302,
01020250401,
01020250402,
01020250501,
01020250502,
01020250601,
01020250602,
01020250701,
01020250702,
01020250801,
01020250802,
01020260101,
01020260102,
01020260201,
01020260202,
01020260301,
01020260302,
01020260401,
01020260402,
01020260501,
01020260502,
01020260601,
01020260602,
01020260701,
01020260702,
01020260801,
01020260802,
01020270101,
01020270102,
01020270201,
01020270202,
01020270301,
01020270302,
01020270401,
01020270402,
01020270501,
01020270502,
01020270601,
01020270602,
01020270701,
01020270702,
01020270801,
01020270802,
01020280101,
01020280102,
01020280201,
01020280202,
01020280301,
01020280302,
01020280401,
01020280402,
01020280501,
01020280502,
01020280601,
01020280602,
01020280701,
01020280702,
01020280801,
01020280802,
01020290101,
01020290102,30557690100718001188
01020290201,
01020290202,
01020290301,
01020290302,
01020290401,
01020290402,
01020290501,
01020290502,
01020290601,
01020290602,
01020290701,
01020290702,
01020290801,
01020290802,
01020300101,
01020300102,
01020300201,
01020300202,30557690100112000896
01020300301,
01020300302,
01020300401,
01020300402,
01020300501,
01020300502,
01020300601,
01020300602,
01020300701,
01020300702,
01020300801,
01020300802,
01020310101,
01020310102,
01020310201,
01020310202,
01020310301,
01020310302,
01020310401,
01020310402,
01020310501,
01020310502,
01020310601,
01020310602,
01020310701,
01020310702,
01020310801,
01020310802,
01020320101,
01020320102,
01020320201,
01020320202,
01020320301,
01020320302,
01020320401,
01020320402,
01020320501,
01020320502,
01020320601,
01020320602,
01020320701,
01020320702,
01020320801,
01020320802,
01020330101,
01020330102,
01020330201,
01020330202,
01020330301,
01020330302,
01020330401,
01020330402,
01020330501,
01020330502,
01020330601,
01020330602,
01020330701,
01020330702,
01020330801,
01020330802,
01020340101,
01020340102,
01020340201,
01020340202,
01020340301,
01020340302,30557690100415001101
01020340401,
01020340402,
01020340501,
01020340502,
01020340601,
01020340602,
01020340701,
01020340702,
01020340801,
01020340802,
01020350101,
01020350102,
01020350201,
01020350202,
01020350301,
01020350302,
01020350401,
01020350402,
01020350501,
01020350502,
01020350601,
01020350602,
01020350701,
01020350702,
01020350801,
01020350802,30557690101831001012
01020360101,
01020360102,
01020360201,
01020360202,
01020360301,
01020360302,
01020360401,
01020360402,
01020360501,
01020360502,
01020360601,
01020360602,30557690100112000829
01020360701,
01020360702,
01020360801,
01020360802,
01020370101,
01020370102,
01020370201,
01020370202,
01020370301,
01020370302,
01020370401,
01020370402,
01020370501,
01020370502,
01020370601,
01020370602,
01020370701,
01020370702,
01020370801,
01020370802,30557690101224000841
01020380101,
01020380102,
01020380201,
01020380202,
01020380301,
01020380302,
01020380401,
01020380402,
01020380501,
01020380502,
01020380601,
01020380602,
01020380701,
01020380702,30557690100011001122
01020380801,
01020380802,
01020390101,
01020390102,
01020390201,
01020390202,
01020390301,
01020390302,
01020390401,
01020390402,
01020390501,
01020390502,
01020390601,
01020390602,
01020390701,
01020390702,
01020390801,
01020390802,
01020400101,
01020400102,
01020400201,
01020400202,
01020400301,
01020400302,
01020400401,
01020400402,
01020400501,
01020400502,
01020400601,
01020400602,
01020400701,
01020400702,
01020400801,
01020400802,
01020410101,
01020410102,
01020410201,
01020410202,
01020410301,
01020410302,
01020410401,
01020410402,
01020410501,
01020410502,
01020410601,
01020410602,
01020410701,
01020410702,
01020410801,
01020410802,
01020420101,
01020420102,
01020420201,
01020420202,30557690100213001137
01020420301,
01020420302,
01020420401,
01020420402,30557690101932001155
01020420501,
01020420502,
01020420601,
01020420602,
01020420701,
01020420702,
01020420801,
01020420802,
01020430101,
01020430102,
01020430201,
01020430202,
01020430301,
01020430302,
01020430401,
01020430402,
01020430501,
01020430502,
01020430601,
01020430602,
01020430701,
01020430702,30557690101729001120
01020430801,
01020430802,
01020440101,
01020440102,
01020440201,
01020440202,30557690100415001135
01020440301,
01020440302,
01020440401,
01020440402,
01020440501,
01020440502,
01020440601,
01020440602,30557690101426000890
01020440701,
01020440702,
01020440801,
01020440802,
01020450101,
01020450102,30557690100921001166
01020450201,
01020450202,
01020450301,
01020450302,
01020450401,
01020450402,30557690101729000817
01020450501,
01020450502,
01020450601,
01020450602,30557690100314000905
01020450701,
01020450702,
01020450801,
01020450802,
01020460101,
01020460102,
01020460201,
01020460202,
01020460301,
01020460302,
01020460401,
01020460402,
01020460501,
01020460502,
01020460601,
01020460602,
01020460701,
01020460702,
01020460801,
01020460802,30557690100921000821
01020470101,
01020470102,
01020470201,
01020470202,
01020470301,
01020470302,
01020470401,
01020470402,
01020470501,
01020470502,
01020470601,
01020470602,
01020470701,
01020470702,
01020470801,
01020470802,
01020480101,
01020480102,
01020480201,
01020480202,30557690101224001151
01020480301,
01020480302,
01020480401,
01020480402,
01020480501,
01020480502,
01020480601,
01020480602,
01020480701,
01020480702,
01020480801,
01020480802,
01020490101,
01020490102,
01020490201,
01020490202,
01020490301,
01020490302,
01020490401,
01020490402,
01020490501,
01020490502,
01020490601,
01020490602,
01020490701,
01020490702,
01020490801,
01020490802,
01020500101,
01020500102,
01020500201,
01020500202,30557690101628000826
01020500301,
01020500302,
01020500401,
01020500402,30557690101729000844
01020500501,
01020500502,
01020500601,
01020500602,
01020500701,
01020500702,
01020500801,
01020500802,30557690100921000967
01020510101,
01020510102,
01020510201,
01020510202,
01020510301,
01020510302,
01020510401,
01020510402,
01020510501,
01020510502,30557690101224000884
01020510601,
01020510602,
01020510701,
01020510702,
01020510801,
01020510802,
01020520101,
01020520102,
01020520201,
01020520202,
01020520301,
01020520302,30557690100011000948
01020520401,
01020520402,30557690100718001157
01020520501,
01020520502,
01020520601,
01020520602,
01020520701,
01020520702,
01020520801,
01020520802,
01020530101,
01020530102,
01020530201,
01020530202,
01020530301,
01020530302,
01020530401,
01020530402,
01020530501,
01020530502,
01020530601,
01020530602,
01020530701,
01020530702,
01020530801,
01020530802,
01020540101,
01020540102,
01020540201,
01020540202,
01020540301,
01020540302,
01020540401,
01020540402,
01020540501,
01020540502,
01020540601,
01020540602,30557690100718001027
01020540701,
01020540702,
01020540801,
01020540802,
01020550101,
01020550102,
01020550201,
01020550202,
01020550301,
01020550302,30557690101932000818
01020550401,
01020550402,
01020550501,
01020550502,
01020550601,
01020550602,
01020550701,
01020550702,
01020550801,
01020550802,30557690100516000991
01020560101,
01020560102,30557690101325000933
01020560201,
01020560202,
01020560301,
01020560302,
01020560401,
01020560402,
01020560501,
01020560502,
01020560601,
01020560602,
01020560701,
01020560702,
01020560801,
01020560802,
01020570101,
01020570102,
01020570201,
01020570202,
01020570301,
01020570302,
01020570401,
01020570402,
01020570501,
01020570502,30557690101628000876
01020570601,
01020570602,
01020570701,
01020570702,
01020570801,
01020570802,
01020580101,
01020580102,
01020580201,
01020580202,
01020580301,
01020580302,
01020580401,
01020580402,
01020580501,
01020580502,
01020580601,
01020580602,
01020580701,
01020580702,30557690101729001000
01020580801,
01020580802,
01020590101,
01020590102,
01020590201,
01020590202,
01020590301,
01020590302,
01020590401,
01020590402,
01020590501,
01020590502,
01020590601,
01020590602,
01020590701,
01020590702,
01020590801,
01020590802,
01020600101,
01020600102,
01020600201,
01020600202,30557690100011000988
01020600301,
01020600302,
01020600401,
01020600402,
01020600501,
01020600502,
01020600601,
01020600602,
01020600701,
01020600702,
01020600801,
01020600802,
02010010101,30557690100819001561
02010010102,30557690100819001428
02010010201,30557690101729001519
02010010202,30557690101729001309
02010010301,30557690100718001366
02010010302,30557690100718001234
02010010401,30557690100819001279
02010010402,30557690100819001213
02010010501,30557690101932001294
02010010502,30557690101932001209
02010010601,30557690100213001272
02010010602,30557690100213001216
02010010701,30557690100415001267
02010010702,30557690100415001238
02010010801,30557690100213001425
02010010802,30557690100213001321
02010020101,30557690100213001600
02010020102,30557690100213001489
02010020201,
02010020202,30557690100921001174
02010020301,30557690101628001434
02010020302,30557690101628001334
02010020401,30557690100415001326
02010020402,30557690100415001273
02010020501,30557690100011001318
02010020502,30557690100011001228
02010020601,30557690101426001350
02010020602,30557690101426001276
02010020701,30557690101123001675
02010020702,30557690101123001175
02010020801,
02010020802,30557690100921000823
02010030101,
02010030102,30557690100112001677
02010030201,30557690101224001615
02010030202,30557690101224001513
02010030301,30557690101426001599
02010030302,30557690101426001445
02010030401,30557690100314001515
02010030402,30557690100314001338
02010030501,30557690100617001403
02010030502,30557690100617001308
02010030601,30557690101932001388
02010030602,30557690101932001368
02010030701,30557690100011001601
02010030702,30557690100011001449
02010030801,30557690101831001641
02010030802,30557690101831001531
02010040101,
02010040102,
02010040201,
02010040202,30557690101729001681
02010040301,30557690100617001700
02010040302,30557690100617001532
02010040401,30557690100415001630
02010040402,30557690100415001456
02010040501,30557690101831001454
02010040502,30557690101831001382
02010040601,30557690100718001590
02010040602,30557690100718001461
02010040701,30557690101932001689
02010040702,30557690101932001534
02010040801,
02010040802,30557690100314001695
02010050101,
02010050102,
02010050201,
02010050202,
02010050301,
02010050302,30557690101831001697
02010050401,
